gold_id,conversation_id,tweet_id,customer_message,suggested_intent,length_bucket,difficulty,priority,intent_label,should_escalate_human,reply_quality_human,judge_overall,judge_groundedness,notes
G160,amazon_826268,826268,If @116090 sends me another package with @916 I’ll delete my account. Not worth the headache.,account_login,medium,standard,,,,,,,
G161,amazon_2398196,2398195,@AmazonHelp We have contacted several times already since Sunday. They keep fobbing us off with another 24 hours to investigate the matter. RUBBISH. The Courier has already said were they delivered. Wrong address!! Not my problem I want the money refunded today or replacement sent out for,address_delivery,long,standard,,,,,,,
G162,amazon_1306039,1306039,for fucks sake. I finally got the DNA test for Max and the code on the box is defective AND product has been used wtf amazon.,wrong_damaged_item,medium,standard,,,,,,,
G163,amazon_1490769,1490772,@AmazonHelp Order# 171-9509195-0411533. My email address:- __email__,address_delivery,medium,standard,,,,,,,
G164,amazon_1910354,1910354,@116618 Any chance of releasing @132976 on #Bluray?,other,medium,hard,,,,,,,
G165,amazon_2279660,2279660,"@117795 Hey @117795, how can I use my Amazon gift card balance on Prime Now in UK? Is there a workaround for this?",payment_billing,medium,ambiguous,,,,,,,
G166,amazon_180426,180424,@AmazonHelp There are too many items price show wrong on amazon website,payment_billing,medium,standard,,,,,,,
G167,amazon_2577028,2577028,"@115821 @AmazonHelp if an item is listed as ""prime pantry"" does that mean I have to have prime pantry to get it? Or it just makes it cheaper if I were a pantry member?",prime_membership,medium,standard,,,,,,,
G168,amazon_1668359,1668358,@AmazonHelp Am I supposed to return stone via courier???,refund_return,medium,standard,,,,,,,
G169,amazon_21586,21577,@AmazonHelp Feedback? Are you kidding me? Where is my money and the package...bloddy idiots I am the prime customer and I want the shipment to be delivered rite now...I don't care about ur internal review...get me ur escalation point of contact to call me,delivery_tracking_delay,long,ambiguous,0.0,,,,,,
G170,amazon_236159,236164,@AmazonHelp There is no option not to auto renew because th payment got declined. I don't want to add a working card because I will be charged.,payment_billing,medium,standard,,,,,,,
G171,amazon_2980952,2980952,I fcked round and bought 3 of the same colognes and it wont let me cancel the fucking order 😭😭 i only wanted 1 give me my Fucking money back @115821,refund_return,medium,ambiguous,,,,,,,
G172,amazon_2389685,2389699,@AmazonHelp Amazon now it's more frustrating for me.i ve send all the details of my account which I'm using from 1 year and im able to place the order from the same.then how u can send me d mail teling that your details are https://t.co/epmxEQQGvm sincerely I'm going to make an complaint. https://t.co/sLMAN0nXJ5,account_login,long,standard,,,,,,,
G173,amazon_301044,301044,@AmazonHelp Am I missing something here?? https://t.co/7A1cC9h9f0,missing_or_not_received,medium,standard,,,,,,,
G174,amazon_834182,834817,@115821 @115851 @Walmart @116062 @889 @120330 @136083 @318653 @318654 @318655 Do not trust amazon price guarantee especially on preorders! https://t.co/DWbTUopPrz,payment_billing,medium,standard,,,,,,,
G175,amazon_1719683,1719673,@AmazonHelp The link is opening the same page on which I had already raised my concern can you guys look into my matter or I cancel my order,cancel_order,medium,standard,,,,,,,
G176,amazon_230066,230066,"@115850- I ordered a phone and just in the morning got automated call that, it's been rejected by me, when I never did it. Still confused. https://t.co/FK6STx2J53",other,medium,hard,,,,,,,
G177,amazon_644804,644804,"@115830 I ordered something from you and it's arrived damaged. I'm not sure who to contact, when I tried to leave a review with photos it wouldn't let me. U would like someone to contact me regarding this issue please",wrong_damaged_item,long,standard,,,,,,,
G178,amazon_852803,852803,@117795 I would like a full refund. Amazon really slapped my head.,refund_return,medium,standard,,,,,,,
G179,amazon_2372330,2372330,@115830 just accidentally pressed cancel order on something that’s arriving tomorrow - how do I fix this?! 😫,cancel_order,medium,standard,,,,,,,
G180,amazon_2594954,2594949,@AmazonHelp Bien sûr Transporteur : LP Collect Numero de suivi : 6Y00367525482 https://t.co/zhxiYRzt2m,other,medium,hard,,,,,,,
G181,amazon_2880386,2880387,@AmazonHelp Tracking ID 1ZE45F730402717195 and the statute is late https://t.co/ahKFYdkJo2,delivery_tracking_delay,medium,standard,,,,,,,
G182,amazon_2831606,2831602,"@AmazonHelp My next options aren’t nearly as friendly as a chat! Report Amazon to Trading Standards for “sharp practice” Have my Bank claw back the funds, not you return it Write to the Office of your CEO As they say, the ball is firmly in your court to fix this. I await your response.",refund_return,long,standard,,,,,,,
G183,amazon_1653470,1653470,@228164 @115850 @AmazonHelp I want to cancel my order which I placed by mistake. I am not finding cancel order icon. Help ASAP! https://t.co/DUqMTPjjOm,cancel_order,medium,standard,,,,,,,
G184,amazon_710049,710049,"The only time I receive a package damaged, is when it clearly says ""handle with care"" ""lithium ion battery present"" @115817 @115821 https://t.co/tOBaUpzI0M",wrong_damaged_item,medium,standard,,,,,,,
G185,amazon_399905,399905,@115850 your service is very bakwas Because maine ek order kiya tha jo book ho gya .Aur kuch samaya baad order apne aap cancel ho gya why,cancel_order,medium,standard,,,,,,,
G186,amazon_375557,375555,@AmazonHelp It takes away from the whole point of paying to get prime shipping.,prime_membership,medium,standard,,,,,,,
G187,amazon_1097712,1097712,@AmazonHelp I've got amazon prime and Xperia XZ Premium phone but I can't seem too stream anything in 4K but I have good WiFi signal https://t.co/iROCOwlMc0,prime_membership,medium,standard,,,,,,,
G188,amazon_1540963,1540972,"@AmazonHelp i purchased the physical Pro edition and received a promo code via email as a pre-order bonus, however the code doesn't work when attempting to redeem on Call of Duty's website",gift_card,long,standard,,,,,,,
G189,amazon_969851,969851,Dear @AmazonHelp I have a Amazon Prime account on .co.uk and a Fire Stick at my house in Belgium. How can I watch Prime on my TV here?,account_login,medium,ambiguous,,,,,,,
G190,amazon_1701211,1701211,Don't use #amazonpay once u added money then u can not withdraw it back to ur account @115850 while u can withdraw it in other countries.,account_login,medium,standard,,,,,,,
G191,amazon_1664424,1664424,When @115830 make you think you're getting your Xbox on release date but actually you're not but here's a £5 voucher 🙄🙄 shite.,gift_card,medium,standard,,,,,,,
G192,amazon_1203361,1203361,Amazon fucked up and delivers my package to another house😑,other,medium,hard,,,,,,,
G193,amazon_1431400,1431400,@115830 do you use @122232 for some of your deliveries? That may explain why those parcels have gone missing #PoorCustomerService,missing_or_not_received,medium,standard,,,,,,,
G194,amazon_2531717,2531717,@115850 Ur app doesnot allow to choose cod if u have Amazon pay balance.Not even able to Untick amazon pay n pay entire thruh cod.Why?#Bug,other,medium,hard,,,,,,,
G195,amazon_466708,466707,@AmazonHelp I ordered over 1500 in Amazon Pantry - still ur website is charging deliver charge! And I can't see my full list of orders- for pantry the experience is BAD,payment_billing,medium,standard,,,,,,,
G196,amazon_2200623,2200623,@116928 no me habéis entregado mi pedido de Amazon Prime y no sé el motivo... ni me habéis llamado... @AmazonHelp,prime_membership,medium,standard,,,,,,,
G197,amazon_2834218,2834218,Okay @115830 so #AmazonPrime orders are not being delivered next day anymore @AmazonHelp So what’s the point it having it if I’ve got to wait 3 days for delivery? #FeelingRippedOff,delivery_tracking_delay,medium,standard,,,,,,,
G198,amazon_96812,96812,"@AmazonHelp why do I pay for Prime when my packages can’t be delivered in 2 days!? It’s literally in East Pete, PA...which is 15 minutes from my front door................ https://t.co/A28EiB4ihC",prime_membership,long,standard,,,,,,,
G199,amazon_279940,279937,@AmazonHelp Je ne pense pas.,other,short,hard,,,,,,,
G200,amazon_170995,170995,When you order a new kindle on Amazon prime and it’s delivered in 50 minutes - now that’s great service #amazed @115821,prime_membership,medium,standard,,,,,,,
